x,y
1924471.8425687312,967724.3640694176
1924471.822173665,967724.4213403967
1924471.8084302952,967724.4618241014
1924471.7885757575,967724.519592277
1924471.7683347212,967724.5771114024
1924471.7479355123,967724.6354550967
1924471.727048475,967724.6930336158
1924471.7146424584,967724.7283445053
1924471.6916927472,967724.7916294056
1924471.6706229078,967724.8497229572
1924471.6480558603,967724.9075631726
1924471.6307257444,967724.953768002
1924471.608724657,967725.0122086548
1924471.5890946938,967725.0653360835
1924471.5674004632,967725.1245824719
1924471.549649493,967725.1727454674
1924471.5276428284,967725.2326301576
1924471.5053483646,967725.2934626954
1924471.4922159114,967725.3295959537
1924471.4594441743,967725.4212702494
1924471.4413799732,967725.4702778413
1924471.419137809,967725.5309455466
1924471.3977202273,967725.5921321696
1924471.3799668697,967725.6409140417
1924471.3587052906,967725.6951491532
1924471.3369806944,967725.7555713053
1924471.3140415095,967725.8161331713
1924471.2916741786,967725.8757689206
1924471.2692264097,967725.9361676507
1924471.2534638152,967725.9777988057
1924471.230371323,967726.0379268641
1924471.2085962617,967726.0980393792
1924471.1904579988,967726.1461596243
1924471.167597904,967726.206309208
1924471.1494842784,967726.2547389927
1924471.1447363729,967726.2668301163
1924471.1228806204,967726.3210835692
1924471.103423734,967726.3695287938
1924471.079528591,967726.4301488595
1924471.0543435202,967726.4903513527
1924471.0293399,967726.5503895151
1924471.0125415404,967726.592676812
1924470.993344076,967726.640834229
1924470.969346011,967726.7013507498
1924470.9454543756,967726.7610631358
1924470.921069651,967726.8213718723
1924470.9018737015,967726.8691373334
1924470.8803017687,967726.9234744043
1924470.856150237,967726.9835983767
1924470.8318190076,967727.0434328413
1924470.8069450206,967727.1033477284
1924470.78787966,967727.1507423687
1924470.766489578,967727.2048119616
1924470.7425498697,967727.2635958416
1924470.7232006134,967727.310927498
1924470.6995690393,967727.3701870436
1924470.675034914,967727.4290511452
1924470.6558633656,967727.4771880351
1924470.6337750654,967727.5314612264
1924470.6083340894,967727.5910438581
1924470.5831754957,967727.6510814249
1924470.5583799607,967727.7107490662
1924470.542794905,967727.7465427902
1924470.5375817348,967727.7587146387
1924470.5220980085,967727.7950244923
1924470.4945631132,967727.8617161836
1924470.4694804978,967727.9221460057
1924470.4493742774,967727.9715170519
1924470.4241892167,967728.0317195564
1924470.3981474496,967728.0930327377
1924470.375514249,967728.14794334
1924470.3549703446,967728.196941368
1924470.328958873,967728.2570994226
1924470.3031522927,967728.3177121158
1924470.277218792,967728.3777466934
1924470.2614000686,967728.4138489612
1924470.2327624392,967728.4784734576
1924470.2058516846,967728.5373902753
1924470.1791762745,967728.595565345
1924470.1527358869,967728.6530811777
1924470.1311690467,967728.699414066
1924470.1076675744,967728.7517426419
1924470.080942335,967728.8094430416
1924470.05367442,967728.8672032333
1924470.0321615536,967728.9129380776
1924470.0267703629,967728.92438721
1924470.0045083326,967728.9701397889
1924469.9793824952,967729.0216988035
1924469.951159095,967729.0793934193
1924469.9275274195,967729.1253057462
1924469.898373885,967729.1830586565
1924469.8693510967,967729.2403994909
1924469.8397082235,967729.2977791838
1924469.8190671208,967729.3385044486
1924469.789836337,967729.3961951771
1924469.7603753116,967729.4533073916
1924469.7308605532,967729.5109557669
1924469.7017619489,967729.567863089
1924469.6812528716,967729.6078462064
1924469.6535253504,967729.6642224573
1924469.6250213273,967729.7210082985
1924469.5976844514,967729.7765608861
1924469.5755556433,967729.8212618856
1924469.5534558517,967729.8651378185
1924469.5213957746,967729.9263865139
1924469.498493807,967729.9706306788
1924469.4630247732,967730.0383851038
1924469.4385650153,967730.0846861963
1924469.4078375858,967730.1419791917
1924469.380851885,967730.1935516581
1924469.3563912527,967730.2400796713
1924469.3255071694,967730.2978052797
1924469.2946469258,967730.3560467171
1924469.2635592276,967730.4129876202
1924469.2443113625,967730.4474469307
1924469.21056554,967730.51044262
1924469.1794770483,967730.567589818
1924469.1466595908,967730.624297117
1924469.1154665,967730.6817739833
1924469.0908292013,967730.7272285878
1924469.062760456,967730.7783223998
1924469.031987507,967730.8340267577
1924469.0015741114,967730.8902688716
1924468.9765806026,967730.9343193013
1924468.9455749409,967730.9900846514
1924468.9212790148,967731.0340965176
1924468.8935763603,967731.0840364977
1924468.861690872,967731.1402110384
1924468.8360980889,967731.1856000685
1924468.8044418877,967731.2426006701
1924468.770921836,967731.3006461773
1924468.7478538817,967731.3410526412
1924468.7414545896,967731.3526835466
1924468.715055488,967731.3995135243
1924468.68189539,967731.4579936378
1924468.6490183903,967731.51674303
1924468.6153402505,967731.5755924779
1924468.5954966992,967731.6104620784
1924468.5581073642,967731.673815038
1924468.524075406,967731.730641434
1924468.4907682945,967731.7870580434
1924468.4638609504,967731.8317199708
1924468.4303495071,967731.8875375382
1924468.4005565066,967731.9369743485
1924468.3669975444,967731.991719003
1924468.3404039121,967732.0354125574
1924468.307699425,967732.0896241494
1924468.274248565,967732.143131458
1924468.2547246178,967732.175506137
1924468.2193180765,967732.233771291
1924468.1865907079,967732.28721951
1924468.153970645,967732.3396366673
1924468.1217101351,967732.3925915804
1924468.0879259524,967732.4454580919
1924468.0649208971,967732.4829560549
1924468.0325793945,967732.5368183523
1924467.992938598,967732.6012559802
1924467.966475076,967732.6447024926
1924467.9471318657,967732.6770985036
1924467.9338991889,967732.6990589895
1924467.90351289,967732.74828722
1924467.8763010837,967732.7915245482
1924467.8426659114,967732.8459388451
1924467.808254712,967732.9006389561
1924467.7743854697,967732.9554649412
1924467.7473251452,967732.9996105477
1924467.7164758113,967733.0483418831
1924467.6826588728,967733.1030030356
1924467.648609618,967733.1576220316
1924467.6149762808,967733.2115618634
1924467.58737439,967733.2554784566
1924467.556914428,967733.3037161953
1924467.5213662155,967733.3585356952
1924467.4868044155,967733.4121006137
1924467.4585066205,967733.4556225633
1924467.4240194492,967733.509930428
1924467.3955183555,967733.5525851587
1924467.3636617197,967733.6012919787
1924467.356775319,967733.6119720581
1924467.3224998077,967733.664981088
1924467.294358351,967733.7081529425
1924467.259334396,967733.760994049
1924467.2244112943,967733.8144750575
1924467.1994175413,967733.8519034603
1924467.1626600823,967733.9054805321
1924467.127682052,967733.9598071352
1924467.0914164078,967734.0131179249
1924467.0550200182,967734.0668408007
1924467.0335336823,967734.0990222467
1924466.9940648517,967734.1590664886
1924466.9589839017,967734.2132895499
